wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.660000000000000000e+02,7.340128301486141815e-01,4.992965160115945926e-03,7.340128301486141815e-01,7.340298117405509304e-01,1.029318131264367504e-02,7.001716260243141495e-05
4.670000000000000000e+02,7.409179552768638821e-01,5.068173116976623302e-03,7.409179552768638821e-01,7.409352892327322193e-01,1.039001300551364165e-02,7.107181601491153718e-05
4.680000000000000000e+02,7.478943475475430258e-01,5.144611606527339093e-03,7.478943475475430258e-01,7.479120417015272526e-01,1.048784408911430238e-02,7.214372538746411561e-05
4.690000000000000000e+02,7.549429309247880360e-01,5.222303853263368136e-03,7.549429309247880360e-01,7.549609933041872001e-01,1.058668752034503356e-02,7.323321640096407830e-05
4.700000000000000000e+02,7.620646448519959870e-01,5.301273599830754954e-03,7.620646448519959870e-01,7.620830836825989163e-01,1.068655647317340480e-02,7.434062200239895102e-05
4.710000000000000000e+02,7.692604445756531240e-01,5.381545120631625080e-03,7.692604445756531240e-01,7.692792682872825472e-01,1.078746434317627394e-02,7.546628259565821739e-05
4.720000000000000000e+02,7.765313014773440603e-01,5.463143235844093552e-03,7.765313014773440603e-01,7.765505187095770312e-01,1.088942475219560786e-02,7.661054623813687596e-05
4.730000000000000000e+02,7.838782034141907884e-01,5.546093325871165325e-03,7.838782034141907884e-01,7.838978230222602983e-01,1.099245155311251443e-02,7.777376884335467934e-05
4.740000000000000000e+02,7.913021550679596450e-01,5.630421346233603457e-03,7.913021550679596450e-01,7.913221861288443071e-01,1.109655883474282463e-02,7.895631438980125539e-05
4.750000000000000000e+02,7.988041783031140097e-01,5.716153842922502490e-03,7.988041783031140097e-01,7.988246301218240308e-01,1.120176092685812828e-02,8.015855513622770461e-05
4.760000000000000000e+02,8.063853125340677552e-01,5.803317968227618417e-03,8.063853125340677552e-01,8.064061946501319689e-01,1.130807240533582454e-02,8.138087184360991708e-05
4.770000000000000000e+02,8.140466151019232210e-01,5.891941497058481546e-03,8.140466151019232210e-01,8.140679372960855087e-01,1.141550809744217715e-02,8.262365400402211959e-05
4.780000000000000000e+02,8.217891616609858119e-01,5.982052843775790413e-03,8.217891616609858119e-01,8.218109339621197940e-01,1.152408308725247875e-02,8.388730007666633337e-05
4.790000000000000000e+02,8.296140465753432114e-01,6.073681079551294416e-03,8.296140465753432114e-01,8.296362792675907594e-01,1.163381272121234190e-02,8.517221773131273307e-05
4.800000000000000000e+02,8.375223833258302886e-01,6.166855950275230633e-03,8.375223833258302886e-01,8.375450869559742939e-01,1.174471261384463575e-02,8.647882409941863731e-05
4.810000000000000000e+02,8.455153049276935562e-01,6.261607895031092406e-03,8.455153049276935562e-01,8.455384903127720619e-01,1.185679865360645714e-02,8.780754603320311722e-05
4.820000000000000000e+02,8.535939643592796999e-01,6.357968065158207255e-03,8.535939643592796999e-01,8.536176425944514978e-01,1.197008700890070734e-02,8.915882037296467212e-05
4.830000000000000000e+02,8.617595350021066691e-01,6.455968343923631191e-03,8.617595350021066691e-01,8.617837174687769108e-01,1.208459413424727881e-02,9.053309422294342126e-05
4.840000000000000000e+02,8.700132110926573903e-01,6.555641366825637646e-03,8.700132110926573903e-01,8.700379094668733160e-01,1.220033677661862444e-02,9.193082523604017013e-05
4.850000000000000000e+02,8.783562081862739124e-01,6.657020542551989051e-03,8.783562081862739124e-01,8.783814344474004665e-01,1.231733198194503130e-02,9.335248190771772061e-05
4.860000000000000000e+02,8.867897636335310141e-01,6.760140074617239023e-03,8.867897636335310141e-01,8.868155300732178947e-01,1.243559710179487771e-02,9.479854387942425432e-05
