case_id,band,state,energy_eV,centroid_nm,left_well_probability,central_barrier_probability,right_well_probability,outside_active_probability,localization_left_minus_right,node_count,character,normalization_check
Case_04,electron,4,3.367389245485,28.23442881135357,1.72083815484182e-07,2.9153897210947287e-08,6.707384661196772e-09,0.9999997920549026,1.6537643082298521e-07,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_04,electron,5,3.381863307322,35.664544199311784,8.822131328053843e-05,1.603777736176287e-05,3.6369523229544114e-06,0.9998921039570347,8.458436095758401e-05,6,delocalized_bonding_or_antibonding,1.0
Case_04,electron,6,3.393913661143,41.151103998981505,0.003916952030802908,0.0007563559808305565,0.00017270199898447052,0.9951539899893821,0.003744250031818438,6,delocalized_bonding_or_antibonding,1.0
Case_04,heavy_hole,1,1.531156187567,63.77831087761389,0.9944386167005321,0.0032221457169718144,0.00013158203157879014,0.0022076555509172656,0.9943070346689533,0,left_localized,1.0000000000000002
Case_04,heavy_hole,2,1.503787446159,70.32310044751804,0.015362398466512966,0.02203204012057333,0.9344995664091247,0.028105995003788964,-0.9191371679426117,2,right_localized,1.0
Case_04,heavy_hole,3,1.498524831024,63.65951833448392,0.9632196413524357,0.010149486059494058,0.015622009817726339,0.011008862770343951,0.9475976315347093,2,left_localized,1.0
Case_04,heavy_hole,4,1.445547279417,63.58696086961638,0.9444992125981819,0.027223657266636832,0.0012953370033182859,0.026981793131862955,0.9432038755948636,4,left_localized,1.0
Case_04,heavy_hole,5,1.37801713472,67.21792554124978,0.4077641473343313,0.1085649973774597,0.391747855517378,0.09192299977083096,0.0160162918169533,6,delocalized_bonding_or_antibonding,1.0
Case_04,heavy_hole,6,1.36955803617,66.76134017122531,0.48753184615138256,0.043300189961573435,0.369697460301463,0.09947050358558102,0.11783438584991957,6,delocalized_bonding_or_antibonding,1.0
Case_05,electron,1,2.988867693648,63.54914093166865,0.9567694255839595,0.018889385974531075,0.004205695069933837,0.020135493371575587,0.9525637305140257,0,left_localized,1.0
Case_05,electron,2,3.102130778105,69.64995844618358,0.07828742804242843,0.09794064279201416,0.7298532300635518,0.09391869910200557,-0.6515658020211235,2,right_localized,1.0
Case_05,electron,3,3.165314892029,64.08218308519486,0.7855559837868074,0.03857342337831262,0.08125630325887616,0.09461428957600386,0.7042996805279312,4,left_localized,0.9999999999999999
Case_05,electron,4,3.353066291956,29.964548569522897,4.65796373289058e-06,8.787808215797491e-07,1.9291484182685322e-07,0.9999942703406036,4.4650488910637266e-06,4,delocalized_bonding_or_antibonding,1.0
Case_05,electron,5,3.363643196446,38.33589818764797,0.0007520444092273307,0.0001505918487473818,3.346670755255681e-05,0.9990638970344727,0.0007185777016747739,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_05,electron,6,3.373338657465,42.45497096554103,0.010792370850643287,0.0022955088221753837,0.0005242104780416519,0.9863879098491397,0.010268160372601635,6,delocalized_bonding_or_antibonding,1.0
Case_05,heavy_hole,1,1.499235401868,63.63177104445691,0.9946199928033461,0.0027909926634664324,8.365977070802886e-05,0.0025053547624794186,0.9945363330326381,0,left_localized,1.0000000000000002
Case_05,heavy_hole,2,1.468462893,70.01577579317097,0.04422216515969703,0.023020950017925097,0.907143036971428,0.02561384785094989,-0.8629208718117309,2,right_localized,1.0
Case_05,heavy_hole,3,1.465509419604,63.80993905867744,0.9341418214501885,0.009126197146479744,0.04446932496386687,0.012262656439464843,0.8896724964863216,2,left_localized,0.9999999999999998
Case_05,heavy_hole,4,1.410767905172,63.52474544915478,0.9437446887619221,0.026240792104711985,0.0011617514396380577,0.02885276769372788,0.942582937322284,4,left_localized,1.0000000000000002
Case_05,heavy_hole,5,1.341178400406,67.31751961922807,0.3818247752692589,0.11127587108609287,0.4139044184007679,0.0929949352438803,-0.03207964313150902,6,delocalized_bonding_or_antibonding,1.0
