model,gamma_meV,crossing_nm,direction,nearest_paper_node_nm,distance_from_nearest_paper_node_nm
hybrid,1e-06,1089.2123746222253,negative_to_positive,1330.0,-240.7876253777747
hybrid,1e-06,1090.7274724559322,positive_to_negative,1330.0,-239.27252754406777
hybrid,1e-06,1091.5183740891134,negative_to_positive,1330.0,-238.48162591088658
hybrid,1e-06,1092.4058399925711,positive_to_negative,1330.0,-237.59416000742885
hybrid,1e-06,1093.8406851920165,negative_to_positive,1330.0,-236.1593148079835
hybrid,1e-06,1094.1173748212896,positive_to_negative,1330.0,-235.88262517871044
hybrid,1e-06,1100.0954943754587,negative_to_positive,1330.0,-229.90450562454134
hybrid,1e-06,1101.8724433729974,positive_to_negative,1330.0,-228.1275566270026
hybrid,1e-06,1102.2738338315125,negative_to_positive,1330.0,-227.72616616848745
hybrid,1e-06,1103.6700851911892,positive_to_negative,1330.0,-226.32991480881083
hybrid,1e-06,1104.6171496671875,negative_to_positive,1330.0,-225.3828503328125
hybrid,1e-06,1105.326496604941,positive_to_negative,1330.0,-224.67350339505902
hybrid,1e-06,1106.8153382686385,negative_to_positive,1330.0,-223.18466173136153
hybrid,1e-06,1107.1531020387033,positive_to_negative,1330.0,-222.8468979612967
hybrid,1e-06,1108.9794583128821,negative_to_positive,1330.0,-221.02054168711788
hybrid,1e-06,1109.0036103601562,positive_to_negative,1330.0,-220.99638963984376
hybrid,1e-06,1115.0499661063905,negative_to_positive,1330.0,-214.95003389360954
hybrid,1e-06,1116.887025327519,positive_to_negative,1330.0,-213.11297467248096
hybrid,1e-06,1117.2362975196916,negative_to_positive,1330.0,-212.76370248030844
hybrid,1e-06,1118.7508607177447,positive_to_negative,1330.0,-211.24913928225533
hybrid,1e-06,1119.3615553220318,negative_to_positive,1330.0,-210.6384446779682
hybrid,1e-06,1120.5709552747824,positive_to_negative,1330.0,-209.42904472521764
hybrid,1e-06,1121.5114978460736,negative_to_positive,1330.0,-208.48850215392645
hybrid,1e-06,1122.4550652844175,positive_to_negative,1330.0,-207.54493471558249
hybrid,1e-06,1123.7816911288844,negative_to_positive,1330.0,-206.2183088711156
hybrid,1e-06,1124.1891769949666,positive_to_negative,1330.0,-205.8108230050334
hybrid,1e-06,1125.8457686464772,negative_to_positive,1330.0,-204.15423135352285
hybrid,1e-06,1126.1294445833576,positive_to_negative,1330.0,-203.87055541664245
hybrid,1e-06,1127.9330433818193,negative_to_positive,1330.0,-202.0669566181807
hybrid,1e-06,1128.0534326911163,positive_to_negative,1330.0,-201.9465673088837
hybrid,1e-06,1129.9965896309382,negative_to_positive,1330.0,-200.00341036906184
hybrid,1e-06,1130.002527614782,positive_to_negative,1330.0,-199.9974723852181
hybrid,1e-06,1136.005233801726,negative_to_positive,1330.0,-193.99476619827396
hybrid,1e-06,1137.9933470000524,positive_to_negative,1330.0,-192.00665299994762
hybrid,1e-06,1138.0447244830132,negative_to_positive,1330.0,-191.95527551698683
hybrid,1e-06,1139.9473402259548,positive_to_negative,1330.0,-190.0526597740452
hybrid,1e-06,1140.0951664676015,negative_to_positive,1330.0,-189.90483353239847
hybrid,1e-06,1141.89475998515,positive_to_negative,1330.0,-188.1052400148501
hybrid,1e-06,1142.1494956869105,negative_to_positive,1330.0,-187.85050431308946
hybrid,1e-06,1143.853107662722,positive_to_negative,1330.0,-186.1468923372779
hybrid,1e-06,1144.188643093006,negative_to_positive,1330.0,-185.81135690699398
hybrid,1e-06,1145.3999701207476,positive_to_negative,1330.0,-184.60002987925236
hybrid,1e-06,1146.6572376880904,negative_to_positive,1330.0,-183.3427623119096
hybrid,1e-06,1147.6289669823695,positive_to_negative,1330.0,-182.37103301763045
hybrid,1e-06,1148.422132544977,negative_to_positive,1330.0,-181.5778674550229
hybrid,1e-06,1149.5760359670405,positive_to_negative,1330.0,-180.42396403295947
hybrid,1e-06,1150.473457472613,negative_to_positive,1330.0,-179.52654252738694
hybrid,1e-06,1151.51201392704,positive_to_negative,1330.0,-178.48798607295998
hybrid,1e-06,1152.5439955319882,negative_to_positive,1330.0,-177.45600446801177
hybrid,1e-06,1153.438200314694,positive_to_negative,1330.0,-176.5617996853059
hybrid,1e-06,1154.805281920404,negative_to_positive,1330.0,-175.194718079596
hybrid,1e-06,1155.1822052429968,positive_to_negative,1330.0,-174.81779475700318
