wavelength_nm,simulated_abs_chi2_pm_per_V
1039.52,1930.1
1039.91,1937.8
1040.30,1943.0
1040.69,1950.8
1041.08,1953.4
1041.47,1956.0
1041.85,1958.5
1042.24,1963.7
1042.63,1966.3
1043.02,1968.9
1045.35,2064.8
1045.74,2064.8
1046.13,2067.4
1046.52,2072.5
1046.90,2075.1
1047.29,2080.3
1047.68,2085.5
1048.07,2093.3
1048.46,2098.4
1048.85,2108.8
1049.24,2116.6
1049.62,2124.4
1050.01,2126.9
1050.40,2132.1
1050.79,2134.7
1051.18,2139.9
1051.57,2145.1
1052.34,2243.5
1052.73,2243.5
1053.12,2246.1
1053.51,2253.9
1053.90,2259.1
1054.29,2266.8
1054.68,2272.0
1055.06,2282.4
1055.45,2295.3
1055.84,2303.1
1056.23,2308.3
1056.62,2316.1
1057.01,2321.2
1057.40,2329.0
1057.78,2331.6
1058.56,2432.6
1058.95,2440.4
1059.34,2453.4
1059.73,2468.9
1060.11,2474.1
1060.50,2476.7
1060.89,2479.3
1061.28,2484.5
1061.67,2499.2
1062.06,2554.2
1062.45,2605.1
1062.83,2668.4
1063.22,2673.6
1063.61,2676.2
1064.00,2676.2
1064.39,2678.8
1064.78,2693.3
1065.17,2747.2
1065.55,2802.0
1065.94,2865.3
1066.33,2870.5
1066.72,2873.1
1067.11,2873.1
1067.50,2875.6
1067.89,2890.2
1068.27,2944.1
1068.66,2987.0
1069.05,3041.5
1069.44,3046.6
1069.83,3051.8
1070.22,3054.4
1070.61,3062.2
1070.99,3075.1
1071.38,3082.9
1071.77,3088.1
1072.16,3093.3
1072.55,3095.9
1072.94,3101.0
1073.33,3103.6
1075.66,3199.5
1076.04,3199.5
1076.43,3204.7
1076.82,3207.3
1077.21,3212.4
1077.60,3217.6
1077.99,3222.8
1078.38,3230.6
1078.76,3240.9
1079.15,3243.5
1079.54,3248.7
1079.93,3241.9
1080.32,3185.6
1080.71,3150.7
1081.10,3140.0
1081.48,3121.2
1081.87,3079.4
1082.26,3041.0
1082.65,3011.7
1083.04,2980.1
1083.43,2941.5
1083.82,2886.0
1084.20,2880.0
1084.59,2826.4
1084.98,2781.5
1085.37,2753.3
1085.76,2723.5
1086.15,2683.9
1086.54,2678.0
1086.92,2628.4
1087.31,2582.9
1087.70,2540.7
1088.09,2484.5
1088.48,2484.5
1088.87,2453.4
1089.25,2438.1
1089.64,2419.9
1090.03,2376.2
1090.42,2308.3
1090.81,2300.5
1091.20,2292.7
1091.59,2279.8
1091.97,2274.6
1092.36,2266.8
1092.75,2261.7
1093.14,2253.9
1093.53,2248.7
1093.92,2243.5
1095.08,2142.5
1095.47,2139.9
1095.86,2134.7
1096.25,2126.9
1096.64,2121.8
1097.03,2114.0
1097.41,2106.2
1097.80,2093.3
1098.19,2088.1
1098.58,2080.3
1098.97,2075.1
1099.36,2067.4
1099.75,2062.2
1100.13,2057.0
1103.63,1994.8
1104.02,1994.8
1104.41,1994.8
1104.80,1992.2
1105.18,1992.2
1105.57,1992.2
1105.96,1987.0
1106.35,1987.0
1106.74,1987.0
1107.13,1981.9
1107.52,1981.9
1107.90,1976.7
1108.29,1976.7
1108.68,1974.1
1109.07,1968.9
1109.46,1968.9
1109.85,1966.3
1110.24,1966.3
1110.62,1966.3
1111.01,1963.7
1111.40,1963.7
1115.29,1888.6
1115.68,1891.2
1116.06,1888.6
1116.45,1886.0
1116.84,1883.4
1117.23,1880.8
1117.62,1875.6
1118.01,1873.1
1118.39,1867.9
1118.78,1862.7
1119.17,1857.5
1119.56,1849.7
1119.95,1844.6
1120.34,1836.8
1120.73,1834.2
1121.11,1831.6
1121.50,1829.0
1121.89,1823.8
1122.28,1821.2
1122.67,1818.7
1124.61,1728.0
1125.00,1728.0
1125.39,1722.8
1125.78,1720.2
1126.17,1715.0
1126.55,1709.8
1126.94,1704.7
1127.33,1696.9
1127.72,1689.1
1128.11,1681.3
1128.50,1671.0
1128.89,1665.8
1129.27,1663.2
1129.66,1658.0
1130.05,1655.4
1130.44,1650.3
1130.83,1647.7
1131.99,1546.6
1132.38,1544.0
1132.77,1538.9
1133.16,1533.7
1133.55,1525.9
1133.94,1520.7
1134.32,1513.0
1134.71,1500.0
1135.10,1494.8
1135.49,1489.6
1135.88,1481.9
1136.27,1476.7
1136.66,1471.5
1137.04,1466.3
1138.21,1360.1
1138.60,1357.5
1138.99,1352.3
1139.38,1347.2
1139.76,1342.0
1140.15,1336.8
1140.54,1329.0
1140.93,1318.7
1141.32,1308.3
1141.71,1303.1
1142.10,1297.9
1142.48,1292.7
1142.87,1287.6
1143.26,1282.4
