n_1based,m_1based,k_per_nm,k_pi_over_a,transition_eV,one_photon_nm,two_photon_nm
1,1,0.45383345870613,0.08166666666662736,1.6204913439693496,765.1025033944585,1530.205006788917
1,1,0.45568584017024,0.08199999999996113,1.6214151970080997,764.6665618330246,1529.3331236660492
1,1,0.45753822163435,0.0823333333332949,1.6223424190695,764.2295297383123,1528.4590594766246
1,1,0.45939060309845,0.08266666666662688,1.6232730092836987,763.7914121094792,1527.5828242189584
1,1,0.46124298456256,0.08299999999996066,1.6242069666157992,763.3522140243845,1526.704428048769
1,1,0.46309536602667,0.08333333333329444,1.6251442898702992,762.911940636945,1525.82388127389
1,1,0.46494774749077,0.08366666666662641,1.6260849776953494,762.4705971745882,1524.9411943491764
1,1,0.46680012895488,0.08399999999996018,1.6270290285867495,762.0281889358401,1524.0563778716803
1,1,0.46865251041899,0.08433333333329394,1.6279764408924502,761.5847212876886,1523.1694425753772
1,1,0.47050489188309,0.08466666666662594,1.6289272128162493,761.1401996633351,1522.2803993266702
1,1,0.4723572733472,0.0849999999999597,1.6298813424221497,760.6946295596485,1521.389259119297
1,1,0.47420965481131,0.08533333333329349,1.6308388276370505,760.2480165354093,1520.4960330708186
1,1,0.47606203627541,0.08566666666662545,1.6317996662555994,759.8003662085536,1519.600732417107
1,1,0.47791441773952,0.08599999999995922,1.6327638559430493,759.3516842543613,1518.7033685087226
1,1,0.47976679920363,0.08633333333329302,1.63373139423915,758.9019764031715,1517.803952806343
1,1,0.48161918066773,0.08666666666662498,1.6347022785609993,758.4512484385914,1516.9024968771828
1,1,0.48347156213184,0.08699999999995875,1.6356765062068492,757.9995061952723,1515.9990123905445
1,1,0.48532394359595,0.08733333333329253,1.636654074358799,757.5467555572119,1515.0935111144238
1,1,0.48717632506005,0.0876666666666245,1.637634980086249,757.0930024557128,1514.1860049114257
1,1,0.48902870652416,0.08799999999995829,1.6386192203489494,756.6382528675402,1513.2765057350805
1,1,0.49088108798827,0.08833333333329206,1.6396067919992998,756.1825128134316,1512.3650256268631
1,1,0.49273346945237,0.08866666666662402,1.6405976917858986,755.7257883560413,1511.4515767120827
1,1,0.49458585091648,0.0889999999999578,1.6415919163558492,755.2680855984663,1510.5361711969326
1,1,0.49643823238059,0.08933333333329159,1.6425894622575499,754.8094106825573,1509.6188213651146
1,1,0.49829061384469,0.08966666666662355,1.6435903259431,754.3497697874151,1508.6995395748302
1,1,0.5001429953088,0.08999999999995734,1.6445945037713499,753.8891691275996,1507.7783382551993
1,1,0.50199537677291,0.0903333333332911,1.6456019920093,753.427614952105,1506.85522990421
1,1,0.50384775823701,0.0906666666666231,1.646612786835749,752.9651135423104,1505.9302270846208
1,1,0.50570013970112,0.09099999999995687,1.6476268843421498,752.501671211218,1505.003342422436
1,1,0.50755252116522,0.09133333333328883,1.6486442805360986,752.0372943014935,1504.074588602987
1,1,0.50940490262933,0.09166666666662263,1.6496649713426994,751.5719891844856,1503.1439783689711
1,1,0.51125728409344,0.09199999999995638,1.6506889526069,751.1057622588086,1502.2115245176171
1,1,0.51310966555755,0.09233333333329016,1.6517162200953488,750.6386199491504,1501.2772398983009
1,1,0.51496204702165,0.09266666666662216,1.6527467694984506,750.1705687049974,1500.3411374099949
1,1,0.51681442848576,0.09299999999995591,1.6537805964321992,749.7016149994661,1499.4032299989321
1,1,0.51866680994986,0.0933333333332879,1.6548176964402492,749.2317653280347,1498.4635306560695
1,1,0.52051919141397,0.09366666666662164,1.6558580649951498,748.7610262076608,1497.5220524153217
1,1,0.52237157287808,0.09399999999995544,1.6569016975006001,748.2894041754404,1496.5788083508808
1,1,0.52422395434218,0.09433333333328743,1.6579485892924988,747.8169057878214,1495.6338115756428
1,1,0.52607633580629,0.09466666666662119,1.6589987356414497,747.3435376191632,1494.6870752383263
1,1,0.5279287172704,0.09499999999995497,1.660052131753199,746.8693062612373,1493.7386125224746
1,1,0.5297810987345,0.09533333333328695,1.6611087727708986,746.3942183219086,1492.7884366438172
1,1,0.53163348019861,0.09566666666662071,1.6621686537765499,745.918280424193,1491.836560848386
1,1,0.53348586166272,0.0959999999999545,1.6632317697917494,745.441499205633,1490.882998411266
1,1,0.53533824312682,0.09633333333328647,1.6642981157796497,744.9638813171335,1489.927762634267
1,1,0.53719062459093,0.09666666666662024,1.6653676866463993,744.4854334220371,1488.9708668440742
1,1,0.53904300605504,0.09699999999995401,1.6664404772415,744.0061621956885,1488.012324391377
1,1,0.54089538751914,0.097333333333286,1.6675164823598492,743.5260743242493,1487.0521486484986
1,1,0.54274776898325,0.09766666666661976,1.668595696743049,743.0451765038479,1486.0903530076957
1,1,0.54460015044736,0.09799999999995354,1.6696781150795494,742.5634754402524,1485.1269508805049
1,1,0.54645253191146,0.09833333333328552,1.6707637320066,742.0809778477417,1484.1619556954834
1,1,0.54830491337557,0.09866666666661929,1.6718525421111503,741.5976904484505,1483.195380896901
1,1,0.55015729483968,0.09899999999995308,1.6729445399304999,741.1136199718297,1482.2272399436595
1,1,0.55200967630378,0.09933333333328503,1.6740397199537498,740.6287731537542,1481.2575463075084
