wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
880,10.9403,0.0476432,10.9403,10.9404
881,10.9461,0.0469751,10.9461,10.9462
882,10.9522,0.0463054,10.9522,10.9523
883,10.9586,0.0456346,10.9586,10.9587
884,10.9653,0.0449626,10.9653,10.9654
885,10.9724,0.0442896,10.9724,10.9724
886,10.9797,0.0436157,10.9797,10.9798
887,10.9873,0.0429411,10.9873,10.9874
888,10.9953,0.0422658,10.9953,10.9954
889,11.0035,0.0415899,11.0035,11.0036
890,11.0121,0.0409133,11.0121,11.0122
891,11.021,0.0402362,11.021,11.0211
892,11.0302,0.0395585,11.0302,11.0302
893,11.0396,0.0388802,11.0396,11.0397
894,11.0494,0.0382013,11.0494,11.0495
895,11.0595,0.0375219,11.0595,11.0596
896,11.07,0.0368418,11.07,11.07
897,11.0807,0.036161,11.0807,11.0807
898,11.0917,0.0354796,11.0917,11.0918
899,11.1031,0.0347974,11.1031,11.1031
900,11.1147,0.0341143,11.1147,11.1148
901,11.1267,0.0334304,11.1267,11.1267
902,11.139,0.0327455,11.139,11.139
903,11.1516,0.0320597,11.1516,11.1516
904,11.1645,0.0313727,11.1645,11.1645
905,11.1777,0.0306845,11.1777,11.1777
906,11.1912,0.029995,11.1912,11.1912
907,11.205,0.0293042,11.205,11.2051
908,11.2192,0.0286119,11.2192,11.2192
909,11.2337,0.027918,11.2337,11.2337
910,11.2485,0.0272225,11.2485,11.2485
911,11.2636,0.0265252,11.2636,11.2636
912,11.279,0.0258259,11.279,11.2791
913,11.2948,0.0251247,11.2948,11.2948
914,11.3109,0.0244213,11.3109,11.3109
915,11.3273,0.0237157,11.3273,11.3273
916,11.344,0.0230078,11.344,11.344
917,11.361,0.0222973,11.361,11.3611
918,11.3784,0.0215842,11.3784,11.3784
919,11.3961,0.0208683,11.3961,11.3961
920,11.4142,0.0201496,11.4142,11.4142
921,11.4325,0.0194278,11.4325,11.4325
922,11.4512,0.0187028,11.4512,11.4512
923,11.4702,0.0179745,11.4702,11.4703
924,11.4896,0.0172428,11.4896,11.4896
925,11.5093,0.0165074,11.5093,11.5093
926,11.5294,0.0157682,11.5294,11.5294
927,11.5498,0.0150252,11.5498,11.5498
928,11.5705,0.014278,11.5705,11.5705
929,11.5916,0.0135266,11.5916,11.5916
930,11.613,0.0127708,11.613,11.613
931,11.6348,0.0120104,11.6348,11.6348
932,11.6569,0.0112452,11.6569,11.6569
933,11.6794,0.0104751,11.6794,11.6794
934,11.7022,0.00969988,11.7022,11.7022
935,11.7254,0.00891938,11.7254,11.7254
936,11.749,0.00813339,11.749,11.749
937,11.7729,0.00734173,11.7729,11.7729
938,11.7972,0.00654421,11.7972,11.7972
939,11.8219,0.00574062,11.8219,11.8219
940,11.8469,0.00493076,11.8469,11.8469
941,11.8723,0.00411442,11.8723,11.8723
942,11.8981,0.0032914,11.8981,11.8981
943,11.9243,0.00246147,11.9243,11.9243
944,11.9509,0.00162442,11.9509,11.9509
945,11.9778,0.000780009,11.9778,11.9778
946,12.0052,-7.19828e-05,12.0052,12.0052
947,12.0329,-0.000931795,12.0329,12.0329
948,12.0611,-0.00179967,12.0611,12.0611
949,12.0896,-0.00267586,12.0896,12.0896
950,12.1186,-0.00356062,12.1186,12.1186
951,12.1479,-0.0044542,12.1479,12.1479
952,12.1777,-0.00535687,12.1777,12.1777
953,12.2079,-0.00626892,12.2079,12.2079
954,12.2386,-0.00719061,12.2386,12.2386
955,12.2696,-0.00812224,12.2696,12.2696
956,12.3011,-0.00906409,12.3011,12.3011
957,12.3331,-0.0100165,12.3331,12.3331
958,12.3655,-0.0109797,12.3655,12.3655
959,12.3983,-0.0119541,12.3983,12.3983
960,12.4316,-0.01294,12.4316,12.4316
961,12.4653,-0.0139378,12.4653,12.4653
962,12.4995,-0.0149477,12.4995,12.4995
963,12.5342,-0.0159701,12.5342,12.5342
964,12.5694,-0.0170054,12.5694,12.5694
965,12.605,-0.018054,12.605,12.605
966,12.6411,-0.0191163,12.6411,12.6412
967,12.6778,-0.0201927,12.6778,12.6778
968,12.7149,-0.0212835,12.7149,12.7149
969,12.7525,-0.0223892,12.7525,12.7526
970,12.7907,-0.0235103,12.7907,12.7907
