mode,context,wavelength_nm,entry,group,real_pm_per_V,imag_pm_per_V,abs_pm_per_V
23D,1550_nm,1550.0,V_m1_n2_l1,heavy_hole_side_signed,-4.04110874672006,0.5215087012558991,4.074620378428277
23D,1550_nm,1550.0,V_m1_n2_l2,heavy_hole_side_signed,2.0352142314869814,-0.26156182120327964,2.0519531072513133
23D,1550_nm,1550.0,C_m2_n1_l1,electron_side,0.010379212064766755,-0.16525943983904465,0.16558505518011044
23D,1550_nm,1550.0,C_m2_n1_l2,electron_side,0.02313248192393496,-0.2911769171638772,0.29209434915626253
23D,1550_nm,1550.0,V_m2_n1_l1,heavy_hole_side_signed,-0.07808804427854783,1.223696302058276,1.2261852968986162
23D,1550_nm,1550.0,V_m2_n1_l2,heavy_hole_side_signed,-0.010383794762384197,0.1653324062681427,0.1656581653770242
23D,1550_nm,1550.0,C_m2_n2_l1,electron_side,0.20097030829161666,-0.013032144802827179,0.20139240703906713
23D,1550_nm,1550.0,C_m2_n2_l2,electron_side,79.71190059789802,-5.078839929005152,79.873535742157
23D,1550_nm,1550.0,V_m2_n2_l1,heavy_hole_side_signed,1.3741805837781027,-0.08785279807716422,1.3769859806703604
23D,1550_nm,1550.0,V_m2_n2_l2,heavy_hole_side_signed,-54.37724378863158,3.464643483738888,54.487506793004265
23D,1550_nm,1550.0,electron_side_subtotal,subtotal,1.849270452240944,-753.9843708833051,753.9866386995853
23D,1550_nm,1550.0,heavy_hole_side_subtotal_signed,subtotal,24.620970619791834,754.7817047929536,755.1831659169966
23D,1550_nm,1550.0,final_electron_minus_heavy_hole,final,26.4702410720329,0.7973339096483872,26.482246954799976
23D,mode_spectral_peak,1503.0,C_m1_n1_l1,electron_side,-452.54557040467176,-722.42991191336,852.468457434077
23D,mode_spectral_peak,1503.0,C_m1_n1_l2,electron_side,2.6886153239145383,4.407632589797873,5.1629330236442526
23D,mode_spectral_peak,1503.0,V_m1_n1_l1,heavy_hole_side_signed,449.9445375511734,718.2777025931882,847.5688437611943
23D,mode_spectral_peak,1503.0,V_m1_n1_l2,heavy_hole_side_signed,0.7717029394323437,1.2313544024111245,1.4531892826007826
23D,mode_spectral_peak,1503.0,C_m1_n2_l1,electron_side,-2.7838245685387863,5.530966694198592,6.192032929558294
23D,mode_spectral_peak,1503.0,C_m1_n2_l2,electron_side,3.8531002578101363,-7.371744403579256,8.317992374872594
23D,mode_spectral_peak,1503.0,V_m1_n2_l1,heavy_hole_side_signed,-2.612217239187621,4.9976892697982525,5.63920002679153
23D,mode_spectral_peak,1503.0,V_m1_n2_l2,heavy_hole_side_signed,1.3253244217638618,-2.5237285758796406,2.8505597253232904
23D,mode_spectral_peak,1503.0,C_m2_n1_l1,electron_side,-0.04749059016360025,-0.1707376570690705,0.17721936602844102
23D,mode_spectral_peak,1503.0,C_m2_n1_l2,electron_side,-0.07956367580521158,-0.3036991400084658,0.3139483176408476
23D,mode_spectral_peak,1503.0,V_m2_n1_l1,heavy_hole_side_signed,0.35171571295939685,1.2690883703907376,1.3169241567393146
23D,mode_spectral_peak,1503.0,V_m2_n1_l2,heavy_hole_side_signed,0.04751155851967947,0.17081304227648147,0.17729761308239875
23D,mode_spectral_peak,1503.0,C_m2_n2_l1,electron_side,0.49934820910087957,-0.3746896511765417,0.6242923743175582
23D,mode_spectral_peak,1503.0,C_m2_n2_l2,electron_side,196.49381022973543,-145.38084699536182,244.42873835064503
23D,mode_spectral_peak,1503.0,V_m2_n2_l1,heavy_hole_side_signed,3.388543916666535,-2.5239316732401584,4.225217268539294
23D,mode_spectral_peak,1503.0,V_m2_n2_l2,heavy_hole_side_signed,-134.04261774811047,99.17477440593106,166.74249383775384
23D,mode_spectral_peak,1503.0,electron_side_subtotal,subtotal,-251.92157521861841,-866.0930304765586,901.9875927642792
23D,mode_spectral_peak,1503.0,heavy_hole_side_subtotal_signed,subtotal,319.17450111321716,820.073761834876,879.9962142025817
23D,mode_spectral_peak,1503.0,final_electron_minus_heavy_hole,final,67.25292589459852,-46.019268641682444,81.49066896092887
