observable,normalized_RMSE,correlation,phase_deg,status
abs_Re,0.2730702108142628,0.08368931383812808,38,DIAGNOSTIC ONLY
Re,0.4112220000012727,0.26876593537339205,39,DIAGNOSTIC ONLY
abs_Re,0.27396408166539254,0.08088266742333161,39,DIAGNOSTIC ONLY
Re,0.41228640456118554,0.26430641013335093,40,DIAGNOSTIC ONLY
abs_Re,0.274900391534913,0.0781356320256365,40,DIAGNOSTIC ONLY
Re,0.41339212146707327,0.2597607812861411,41,DIAGNOSTIC ONLY
abs_Re,0.27583859630693985,0.07564020747814493,41,DIAGNOSTIC ONLY
Re,0.4145399939609211,0.25513057979937703,42,DIAGNOSTIC ONLY
abs_Re,0.27681595735461445,0.073229056643057,42,DIAGNOSTIC ONLY
Re,0.4157285221663117,0.25041737824994326,43,DIAGNOSTIC ONLY
abs_Re,0.2778330236873,0.07090662065891194,43,DIAGNOSTIC ONLY
Re,0.4168357358271733,0.24562278988077835,44,DIAGNOSTIC ONLY
abs_Re,0.2788387854495835,0.06879200295828049,44,DIAGNOSTIC ONLY
Re,0.4179852369273857,0.24074846759587648,45,DIAGNOSTIC ONLY
abs_Re,0.2798909096094028,0.06672079713676522,45,DIAGNOSTIC ONLY
Re,0.4191779628459069,0.2357961028954329,46,DIAGNOSTIC ONLY
abs_Re,0.28096026284365605,0.0648559688899517,46,DIAGNOSTIC ONLY
Re,0.4204149489475913,0.23076742475326167,47,DIAGNOSTIC ONLY
abs_Re,0.2820765100259313,0.06305476081918492,47,DIAGNOSTIC ONLY
Re,0.4216973321891833,0.22566419843882063,48,DIAGNOSTIC ONLY
abs_Re,0.28325691941148184,0.061238400080064065,48,DIAGNOSTIC ONLY
Re,0.4230263552202261,0.22048822428636752,49,DIAGNOSTIC ONLY
abs_Re,0.2844350508148189,0.05972748761621888,49,DIAGNOSTIC ONLY
Re,0.4244033710090252,0.21524133641395532,50,DIAGNOSTIC ONLY
abs_Re,0.28565758494937754,0.05831018523089727,50,DIAGNOSTIC ONLY
Re,0.4258116295328369,0.2099254013951424,51,DIAGNOSTIC ONLY
abs_Re,0.28694315983321844,0.056878816681058986,51,DIAGNOSTIC ONLY
Re,0.42716324711740933,0.20454231688645716,52,DIAGNOSTIC ONLY
abs_Re,0.2882505723665247,0.05551400713212375,52,DIAGNOSTIC ONLY
Re,0.4285637912096563,0.19909401021379924,53,DIAGNOSTIC ONLY
abs_Re,0.28957538488160156,0.054387162158952784,53,DIAGNOSTIC ONLY
Re,0.43001477973813107,0.1935824369210961,54,DIAGNOSTIC ONLY
abs_Re,0.290969335296133,0.053247304558021034,54,DIAGNOSTIC ONLY
Re,0.4315178550586952,0.1880095792846482,55,DIAGNOSTIC ONLY
abs_Re,0.29241086907653896,0.05219052517504765,55,DIAGNOSTIC ONLY
Re,0.4330747906550037,0.18237744479670526,56,DIAGNOSTIC ONLY
abs_Re,0.2938945972860419,0.05126939245410736,56,DIAGNOSTIC ONLY
