photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V,KK_real_pm_per_V,KK_imag_pm_per_V
-3.192999999999999972e+01,1.104792530931845637e-03,-2.483154766964373084e-07,1.104792530931845637e-03,1.104792558837797926e-03,1.220757273279537286e-03,1.766041755544644088e-03
-3.192899999999999849e+01,1.104859040330635235e-03,-2.483378688988074731e-07,1.104859040330635235e-03,1.104859068239940527e-03,1.220825912212967742e-03,1.756657931256556037e-03
-3.192800000000000082e+01,1.104925555735830275e-03,-2.483602637937397349e-07,1.104925555735830275e-03,1.104925583648489005e-03,1.220887295657101810e-03,1.756367138819943602e-03
-3.192699999999999960e+01,1.104992077148170184e-03,-2.483826613816406694e-07,1.104992077148170184e-03,1.104992105064182785e-03,1.220956007298918235e-03,1.747253019188627944e-03
-3.192599999999999838e+01,1.105058604568354922e-03,-2.484050616629146291e-07,1.105058604568354922e-03,1.105058632487722261e-03,1.221017402360413890e-03,1.746961645846735033e-03
-3.192500000000000071e+01,1.105125137997112639e-03,-2.484274646379612018e-07,1.105125137997112639e-03,1.105125165919834933e-03,1.221086183489210287e-03,1.738102833154327479e-03
-3.192399999999999949e+01,1.105191677435175823e-03,-2.484498703071942690e-07,1.105191677435175823e-03,1.105191705361253506e-03,1.221147590175770351e-03,1.737810894172083388e-03
-3.192299999999999827e+01,1.105258222883244868e-03,-2.484722786710128890e-07,1.105258222883244868e-03,1.105258250812678590e-03,1.221216437816664228e-03,1.729194112990526310e-03
-3.192200000000000060e+01,1.105324774342071343e-03,-2.484946897298219436e-07,1.105324774342071343e-03,1.105324802274861538e-03,1.221277856138419703e-03,1.728901622838656870e-03
-3.192099999999999937e+01,1.105391331812367785e-03,-2.485171034840283263e-07,1.105391331812367785e-03,1.105391359748515104e-03,1.221346767544438487e-03,1.720514606367062275e-03
-3.192000000000000171e+01,1.105457895294858009e-03,-2.485395199340370246e-07,1.105457895294858009e-03,1.105457923234362885e-03,1.221408197505761311e-03,1.720221578782342659e-03
-3.191900000000000048e+01,1.105524464790249347e-03,-2.485619390802584261e-07,1.105524464790249347e-03,1.105524492733111997e-03,1.221477170136234637e-03,1.712052969207304405e-03
-3.191799999999999926e+01,1.105591040299308547e-03,-2.485843609230866128e-07,1.105591040299308547e-03,1.105591068245530056e-03,1.221538611746450032e-03,1.711759417245223161e-03
-3.191700000000000159e+01,1.105657621822720826e-03,-2.486067854629351486e-07,1.105657621822720826e-03,1.105657649772301193e-03,1.221607643239752032e-03,1.703798678113754243e-03
-3.191600000000000037e+01,1.105724209361221705e-03,-2.486292127002106092e-07,1.105724209361221705e-03,1.105724237314161581e-03,1.221669096503890479e-03,1.703504614197430328e-03
-3.191499999999999915e+01,1.105790802915548876e-03,-2.486516426353129001e-07,1.105790802915548876e-03,1.105790830871848695e-03,1.221738184670356038e-03,1.695741953096349414e-03
-3.191400000000000148e+01,1.105857402486408372e-03,-2.486740752686511383e-07,1.105857402486408372e-03,1.105857430446068783e-03,1.221799649595537709e-03,1.695447389063757223e-03
-3.191300000000000026e+01,1.105924008074530510e-03,-2.486965106006291466e-07,1.105924008074530510e-03,1.105924036037551949e-03,1.221868792394340117e-03,1.687873689188305925e-03
-3.191199999999999903e+01,1.105990619680650381e-03,-2.487189486316568890e-07,1.105990619680650381e-03,1.105990647647033497e-03,1.221930268988052296e-03,1.687578636331490013e-03
-3.191100000000000136e+01,1.106057237305484858e-03,-2.487413893621367062e-07,1.106057237305484858e-03,1.106057265275230085e-03,1.221999464515658882e-03,1.680185395747332963e-03
