x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
18.4                 2.6211540510451e-05  0.0029069618087731   0.20575769758018     9.7969719847184e-05  0.058740613284608    0.34756668906619
18.45                2.5709123515334e-05  0.0031105372891876   0.22673311511134     6.7132548838402e-05  0.057588104949779    0.3516109155701
18.5                 2.5214956030014e-05  0.0033140522951783   0.24812029435996     4.1776495324083e-05  0.055830407580261    0.35153489305425
18.55                2.4711484534386e-05  0.0035141594900349   0.26962088104804     2.2197349660463e-05  0.053467138584451    0.34709146364803
18.6                 2.4193675450757e-05  0.0037087973271901   0.29102135808299     8.6613683925922e-06  0.050541056699155    0.33831092563722
18.65                2.3662350838759e-05  0.0038967449976913   0.3121701390516      1.355922312148e-06   0.047120965162682    0.32541592152649
18.7                 2.3118354214914e-05  0.0040768236547006   0.33291742038429     3.8213650113027e-07  0.043287283246347    0.30873342171442
18.75                2.256254921348e-05   0.0042479038074681   0.35311624246164     5.7534905155993e-06  0.039130155293619    0.28868643371352
18.8                 2.199581821538e-05   0.0044089124057316   0.37262353057625     1.7395631795947e-05  0.034747331086093    0.26578327621841
18.85                2.1419060947349e-05  0.0045588395701117   0.39130110837666     3.514740488655e-05   0.030241867376874    0.24060468999277
18.9                 2.0833193053556e-05  0.0046967449262841   0.40901667661452     5.8763082217913e-05  0.025719704637017    0.21378911239598
18.95                2.0239144641954e-05  0.0048217635032036   0.42564475026243     8.791576557187e-05   0.021287175994869    0.18601648893401
19                   1.9637858807663e-05  0.0049331111583818   0.44106754736447     0.00012220191114532  0.01704850694255     0.15799103231473
19.05                1.9030290135736e-05  0.0050300894961917   0.45517582332343     0.00016114691557463  0.013103364600925    0.1304233661752
19.1                 1.8417403185693e-05  0.0051120902483501   0.46786964471513     0.00020421168559664  0.0095445141690994   0.10401250625111
19.15                1.7800170960203e-05  0.005178599089103    0.4790590971488      0.00025080010040616  0.0064556376641764   0.07942813588044
19.2                 1.7179573360381e-05  0.0052291988611832   0.48866492215945     0.00030026726341289  0.0039093662409239   0.057293625269943
19.25                1.6556595630115e-05  0.0052635721923075   0.49661907862085     0.00035192842917348  0.0019655723589657   0.038170225094252
19.3                 1.5932226791925e-05  0.0052815034858017   0.50286522470259     0.00040506848192822  0.00066996195508912  0.022542835220308
19.35                1.5307458076817e-05  0.0052828802728675   0.50735911695723     0.00045895183453663  5.2999724018435e-05  0.010807709410562
19.4                 1.4683281350629e-05  0.0052676939180105   0.51006892371077     0.00051283261078651  0.00012919277836223  0.0032624077689405
19.45                1.4060687539374e-05  0.0052360396732034   0.51097545053659     0.0005659649701287   0.00089674953159593  9.8251698981154e-05
19.5                 1.3440665056074e-05  0.0051881160804462   0.51007227621567     0.0006176134319182   0.0023376218250285   0.0013954726889761
19.55                1.2824198231577e-05  0.0051242237264693   0.50736579822018     0.00066706305624906  0.0044179293081901   0.0071211779332706
19.6                 1.2212265751868e-05  0.0050447633573912   0.50287518739807     0.00071362934045572  0.007088756093853    0.017130184374166
19.65                1.1605839104326e-05  0.0049502333651556   0.4966322521799      0.00075666769428905  0.010287300955319    0.03116870001616
19.7                 1.1005881035422e-05  0.0048412266615135   0.48868121326954     0.00079558236260797  0.013938354020489    0.048880759167779
19.75                1.0413344022286e-05  0.0047184269591574   0.4790783904148      0.00082983467207459  0.017956065240057    0.069817248436691
19.8                 9.8291687605842e-06  0.0045826044833335   0.46789180347668     0.00085895048769904  0.022245963046471    0.093447294611676
19.85                9.2542826710903e-06  0.0044346111408289   0.45520069062294     0.00088252677601695  0.026707175737341    0.11917172567621
19.9                 8.6895984273423e-06  0.004275375176635    0.44109494705892     0.00090023718404958  0.03123480335021     0.14633826363132
19.95                8.1360125067046e-06  0.0041058953518024   0.42567448827102     0.00091183655682011  0.035722384256923    0.17425806389294
