x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
11.35                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8845393778742      0.98727601329524     1.4509602357815      1.3749866947142      1.6695479082974      1.4648870450167
11.4                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8894154632979      0.99766454843972     1.4494356092947      1.4037328934042      1.6833036127088      1.4687120389362
11.45                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8941162593092      1.0087042794614      1.4478353194495      1.4323143408253      1.6947070828193      1.4712749922371
11.5                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.8986399000088      1.0203778886974      1.4461622013425      1.4606320421295      1.7036911851588      1.472559632297
11.55                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9029845898163      1.0326670641405      1.444419219094       1.4885879159812      1.7102030293385      1.4725578027194
11.6                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9071486041827      1.0455525281654      1.4426094605966      1.5160851342721      1.7142042794229      1.4712695151206
11.65                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9111302902749      1.0590140677683      1.4407361320447      1.5430284574958      1.7156713796169      1.4687029490558
11.7                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.914928067632       1.0730305662747      1.4388025522543      1.5693245646196      1.714595692942       1.4648744000857
11.75                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9185404287923      1.0875800364642      1.4368121467835      1.5948823763118      1.7109835520828      1.4598081763132
11.8                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9219659398919      1.1026396550614      1.4347684418633      1.6196133704047      1.7048562221059      1.4535364440474
11.85                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9252032412339      1.1181857985377      1.432675058151       1.6434318885001      1.6962497752698      1.4460990235737
11.9                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9282510478277      1.134194080169       1.4305357043156      1.6662554326564      1.6852148786643      1.4375431363288
11.95                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9311081498996      1.1506393882904      1.4283541704673      1.6880049511288      1.6718164959271      1.4279231050834
12                   1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9337734133727      1.1674959256875      1.4261343214432      1.7086051121736      1.6561335047962      1.417300009038
12.05                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.936245780317       1.1847372500646      1.4238800899598      1.7279845649672      1.6382582327479      1.4057412960204
12.1                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9385242693694      1.202336315523       1.4215954696464      1.7460761867373      1.6182959134552      1.3933203542485
12.15                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9406079761234      1.2202655149873      1.4192845079694      1.7628173152499      1.5963640672651      1.3801160463758
12.2                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9424960734879      1.2384967235118      1.4169512990621      1.7781499658463      1.5725918093441      1.3662122087795
12.25                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9441878120154      1.2570013423993      1.4145999764711      1.7920210322792      1.547119089563       1.3516971192687
12.3                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9456825201998      1.2757503440624      1.4122347058337      1.8043824706516      1.5200958685965      1.3366629365942
12.35                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9469796047427      1.2947143175589      1.4098596774975      1.8151914658221      1.4916812350888      1.3212051153165
12.4                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.948078550789       1.3138635147269      1.4074790990973      1.8244105796996      1.4620424690811      1.3054217997493
12.45                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9489789221311      1.3331678968505      1.4050971881001      1.8320078809139      1.431354057216       1.2894132008244
12.5                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9496803613824      1.3525971817803      1.4027181643341      1.8379570554135      1.3997966655154      1.2732809598355
12.55                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9501825901186      1.3721208914358      1.4003462425121      1.8422374976071      1.3675560757804      1.2571275031006
12.6                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.950485408989       1.3917083996155      1.3979856247654      1.844834381733       1.3348220918731      1.2410553916403
12.65                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.9505886977946      1.4113289800396      1.3956404931985      1.8457387132101      1.3017874223207      1.22516667
12.7                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.950492415537       1.4309518545486      1.3933150024805      1.8449473597913      1.2686465458198      1.2095622183525
