pathway,amplitude_scale,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,peak_shift_nm,model_normalized_amplitude,normalized_amplitude_change,normalized_amplitude_at_paper_nm,node_depth_change_at_paper_nm,local_normalized_RMSE,note
C_m2_n2_l2,1.1,P2,peak,760.0,752.0,0.0,0.5285369746691421,-0.0012800035710731628,0.31778747413416075,-0.002026377331761142,0.19450847565024704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.1,P3,peak,1080.0,1160.0,0.0,0.11275465588061086,0.001146115699523817,0.09193345188295607,0.0010621453558046917,0.5342255721660955,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.1,Z2,minimum,1330.0,1250.0,0.0,0.16462541032860328,0.0013705402864598593,0.31130705457270835,0.0017040548687015655,0.36591582917304055,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,1.1,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.5608295858399998,-0.0016825064047542027,0.3021121887807432,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,P1,peak,540.0,575.0,0.0,0.027786445353924487,0.0001303125362430227,0.018782006877019662,9.737285224371492e-05,0.18224798761794156,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,Z1,minimum,605.0,550.0,0.0,0.020911390551195706,0.00010576973593765318,0.040815550492011625,0.00016771144674154748,0.04800650399227078,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,P2,peak,760.0,752.0,0.0,0.5288747279958108,-0.000942250244404419,0.3183193226203727,-0.0014945288455491812,0.1943581602698846,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,P3,peak,1080.0,1160.0,0.0,0.11245302729186478,0.0008444871107777391,0.09165383376073263,0.0007825272335812566,0.5345002354140324,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,Z2,minimum,1330.0,1250.0,0.0,0.1642649284853279,0.0010100584431844695,0.3108596004738179,0.0012566007698111004,0.36555741471966113,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.9,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.5612647299767896,-0.0012473622679644025,0.30187952099315624,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,P1,peak,540.0,575.0,0.0,0.02772746822646252,7.133540878105638e-05,0.018737928023691015,5.3293998915068114e-05,0.18228657095787024,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,Z1,minimum,605.0,550.0,0.0,0.020863513067544772,5.789225228671965e-05,0.04073967188060955,9.183283533947123e-05,0.04801838396820789,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,P2,peak,760.0,752.0,0.0,0.5293021585570311,-0.0005148196831841201,0.3189953188391648,-0.0008185326267570736,0.19416144842432495,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,P3,peak,1080.0,1160.0,0.0,0.11207049841585917,0.0004619582347721307,0.09129930989729457,0.0004280033701431901,0.534848486040169,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,Z2,minimum,1330.0,1250.0,0.0,0.16380754525670993,0.0005526752145665059,0.3102910933857014,0.0006880936816945904,0.3651010990635182,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,0.95,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.561824481790186,-0.0006876104545679995,0.3015788231527173,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,P1,peak,540.0,575.0,0.0,0.027656132817681464,0.0,0.018684634024775947,0.0,0.18233322581211692,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,Z1,minimum,605.0,550.0,0.0,0.020805620815258052,0.0,0.04064783904527008,0.0,0.04803291770578306,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,P2,peak,760.0,752.0,0.0,0.5298169782402152,0.0,0.3198138514659219,0.0,0.19391486600926822,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,P3,peak,1080.0,1160.0,0.0,0.11160854018108704,0.0,0.09087130652715138,0.0,0.535268929323567,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,Z2,minimum,1330.0,1250.0,0.0,0.16325487004214342,0.0,0.3096029997040068,0.0,0.3645474142729788,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.0,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.562512092244754,0.0,0.30120735313987446,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,P1,peak,540.0,575.0,0.0,0.02756810675836375,-8.80260593177154e-05,0.018618902295902233,-6.573172887371428e-05,0.18239077688652633,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,Z1,minimum,605.0,550.0,0.0,0.02073420953659286,-7.141127866519201e-05,0.04053443881330652,-0.00011340023196355908,0.04805110096410923,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,P2,peak,760.0,752.0,0.0,0.5304489887098185,0.0006320104696032613,0.3208251277522763,0.00101127628635439,0.1935976735117951,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,P3,peak,1080.0,1160.0,0.0,0.11103957772488081,-0.0005689624562062318,0.09034436490848305,-0.0005269416186683279,0.5357865832851408,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,Z2,minimum,1330.0,1250.0,0.0,0.1625737011983231,-0.0006811688438203289,0.30875322590814086,-0.0008497737958659268,0.36386157871480057,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.05,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.5633762020454489,0.0008641098006949566,0.30073740613183575,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m2_n2_l2,1.1,P1,peak,540.0,575.0,0.0,0.027456768982717136,-0.00019936383496432786,0.01853581230665577,-0.00014882171812017828,0.18246353842220597,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
