wavelength_nm,pathway,real,imag,magnitude
639.0,C_m1_n1_l1,43.75216110028308,0.7507090779329098,43.75860104099325
640.0,C_m1_n1_l1,44.270373944605126,0.7662005160060392,44.277003878152144
641.0,C_m1_n1_l1,44.79730197465571,0.7821074562569618,44.804128786102126
642.0,C_m1_n1_l1,45.33315847924178,0.7984443884327632,45.34018935939142
643.0,C_m1_n1_l1,45.87816389748242,0.8152264411105002,45.88540635926139
644.0,C_m1_n1_l1,46.43254612828053,0.8324694162196956,46.44000802415779
645.0,C_m1_n1_l1,46.99654085636491,0.8501898257926437,47.004230396889355
646.0,C_m1_n1_l1,47.57039189596753,0.8684049311106526,47.57831766950478
647.0,C_m1_n1_l1,48.15435155328047,0.8871327844289167,48.16252254703998
648.0,C_m1_n1_l1,48.748681008923626,0.906392273478761,48.7571066313744
649.0,C_m1_n1_l1,49.353650721750356,0.9262031689635946,49.3623408265322
650.0,C_m1_n1_l1,49.969540855419154,0.9465861752843037,49.97850576686585
651.0,C_m1_n1_l1,50.59664172927451,0.9675629847512011,50.60589226967571
652.0,C_m1_n1_l1,51.23525429519999,0.9891563355631776,51.24480181394005
653.0,C_m1_n1_l1,51.88569064224148,1.011390073860695,51.895547046966264
654.0,C_m1_n1_l1,52.54827453094564,1.034289220188092,52.558452320921965
655.0,C_m1_n1_l1,53.22334195951572,1.0578800407323539,53.23385426136385
656.0,C_m1_n1_l1,53.91124176406454,1.0821901237408427,53.92210237006101
657.0,C_m1_n1_l1,54.61233625543407,1.1072484615594786,54.623559664601
658.0,C_m1_n1_l1,55.32700189526315,1.1330855387763075,55.33860335748126
659.0,C_m1_n1_l1,56.05563001421331,1.1597334270035402,56.06762557761904
660.0,C_m1_n1_l1,56.79862757551909,1.1872258868849108,56.81103413747199
661.0,C_m1_n1_l1,57.5564179873075,1.2155984779749769,57.56925334924285
662.0,C_m1_n1_l1,58.32944196743765,1.244888677203727,58.34272489395149
663.0,C_m1_n1_l1,59.118158464954604,1.2751360067145203,59.131908747503694
664.0,C_m1_n1_l1,59.923045642623094,1.306382171946798,59.93728416826267
665.0,C_m1_n1_l1,60.74460192542324,1.3386712109285663,60.759350751049844
666.0,C_m1_n1_l1,61.58334712034973,1.3720496558486015,61.59862955296653
667.0,C_m1_n1_l1,62.43982361336491,1.4065667080963262,62.45566429694305
668.0,C_m1_n1_l1,63.31459764992044,1.4422744280899682,63.33102265949314
669.0,C_m1_n1_l1,64.20826070609245,1.4792279413634148,64.22529764978941
670.0,C_m1_n1_l1,65.1214309580725,1.5174856625510222,65.13910908788246
671.0,C_m1_n1_l1,66.05475485853981,1.557109539100897,66.07310519067912
672.0,C_m1_n1_l1,67.0089088293054,1.5981653167635002,67.027964275173
673.0,C_m1_n1_l1,67.98460108059913,1.6407228291483205,68.0043965894139
674.0,C_m1_n1_l1,68.98257356845501,1.6848563139205115,69.00314628280267
675.0,C_m1_n1_l1,70.0036041028781,1.7306447585277391,70.02499352854458
676.0,C_m1_n1_l1,71.04850862084511,1.7781722787102758,71.07075681248284
677.0,C_m1_n1_l1,72.11814363974432,1.8275285334628035,72.14129540411244
678.0,C_m1_n1_l1,73.21340890859689,1.8788091805916336,73.23751202733808
679.0,C_m1_n1_l1,74.3352502763767,1.932116377557231,74.36035575054753
680.0,C_m1_n1_l1,75.48466279897218,1.987559332919985,75.510825117836
681.0,C_m1_n1_l1,76.66269410886066,2.0452549144313696,76.68997154578781
682.0,C_m1_n1_l1,77.87044807443492,2.105328320649625,77.89890301314259
683.0,C_m1_n1_l1,79.10908877919304,2.167913823928696,79.1387880740047
684.0,C_m1_n1_l1,80.37984485472397,2.233155593754748,80.4108602290475
685.0,C_m1_n1_l1,81.68401420568672,2.3012086107152885,81.71642269351284
686.0,C_m1_n1_l1,83.02296916986002,2.372239682915287,83.05685360578454
