wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.623000000000000000e+03,7.639198915588415462e-01,1.250145549844117632e+01,1.255712875470558432e+00,1.256436247507718562e+01,4.935376808297511957e+02,4.957355728899518255e+01,4.960211487236151129e+02
1.624000000000000000e+03,7.634494975369457981e-01,1.238879239853911152e+01,1.222787263764995691e+00,1.244899135619132835e+01,4.890899199232160299e+02,4.827370624020404932e+01,4.914664795127571324e+02
1.625000000000000000e+03,7.629796824615383555e-01,1.228102487986355129e+01,1.183407891795312583e+00,1.233791012846952917e+01,4.848354288167569166e+02,4.671907094858757148e+01,4.870811684167514386e+02
1.626000000000000000e+03,7.625104452644525521e-01,1.218069711555278900e+01,1.138479518624923026e+00,1.223378591586286035e+01,4.808746474399849831e+02,4.494536987028253350e+01,4.829705092687402725e+02
1.627000000000000000e+03,7.620417848801475103e-01,1.208993295378535571e+01,1.090364284597895805e+00,1.213900214598184313e+01,4.772914219582207807e+02,4.304585656823216766e+01,4.792285960192621701e+02
1.628000000000000000e+03,7.615737002457001470e-01,1.200942864300666990e+01,1.042449227680107837e+00,1.205458737260466684e+01,4.741132391583490175e+02,4.115424594169518002e+01,4.758960343439010217e+02
1.629000000000000000e+03,7.611061903007979579e-01,1.193803429114282011e+01,9.979744745553245089e-01,1.197967511197051671e+01,4.712947031208753970e+02,3.939845306498427391e+01,4.729386168348993920e+02
1.630000000000000000e+03,7.606392539877300241e-01,1.187338592977797269e+01,9.589624079246369392e-01,1.191204862050445712e+01,4.687424881134766110e+02,3.785831840692897998e+01,4.702688299636848797e+02
1.631000000000000000e+03,7.601728902513794628e-01,1.181293773874043573e+01,9.260195116698884954e-01,1.184917761514913259e+01,4.663560891842687397e+02,3.655778499148699723e+01,4.677867821590616018e+02
1.632000000000000000e+03,7.597070980392156558e-01,1.175463850734646520e+01,8.987692119238508415e-01,1.178894874595247799e+01,4.640545277812844347e+02,3.548198627826899809e+01,4.654090417090777692e+02
1.633000000000000000e+03,7.592418763012859229e-01,1.169709792545977933e+01,8.763988385895201683e-01,1.172988383583045291e+01,4.617829166603640942e+02,3.459883933781092225e+01,4.630772525215165842e+02
1.634000000000000000e+03,7.587772239902079718e-01,1.163947447509258737e+01,8.580102175462412939e-01,1.167105597577809561e+01,4.595080340229642388e+02,3.387288567709608600e+01,4.607548216955990483e+02
1.635000000000000000e+03,7.583131400611620165e-01,1.158130354677839691e+01,8.427892951332023319e-01,1.161192859255571719e+01,4.572115378225433346e+02,3.327198774575061435e+01,4.584205661688929467e+02
1.636000000000000000e+03,7.578496234718825608e-01,1.152235182417270032e+01,8.300536735705481561e-01,1.155221107238886624e+01,4.548842170990195655e+02,3.276920555924908740e+01,4.560630129694495736e+02
1.637000000000000000e+03,7.573866731826511822e-01,1.146251979269356802e+01,8.192532446840626870e-01,1.149175947698250155e+01,4.525221431741692868e+02,3.234282171736224853e+01,4.536764796411473526e+02
1.638000000000000000e+03,7.569242881562880942e-01,1.140177977612702165e+01,8.099484489660957465e-01,1.143051173628205142e+01,4.501242234348596298e+02,3.197548310628511103e+01,4.512585157564516862e+02
1.639000000000000000e+03,7.564624673581451519e-01,1.134013989800619271e+01,8.017884470039504663e-01,1.136844921790570950e+01,4.476907785853238124e+02,3.165333914117116620e+01,4.488083857384122553e+02
1.640000000000000000e+03,7.560012097560975253e-01,1.127762289289776199e+01,7.944893631385843147e-01,1.130557346898210369e+01,4.452227061502793504e+02,3.136518286020501733e+01,4.463261506652193589e+02
1.641000000000000000e+03,7.555405143205361496e-01,1.121425412032531632e+01,7.878178698454922912e-01,1.124189274416373507e+01,4.427210072835887900e+02,3.110180286193565635e+01,4.438121364174916152e+02
1.642000000000000000e+03,7.550803800243605091e-01,1.115005501273373412e+01,7.815771450352879679e-01,1.117741426362243296e+01,4.401865281042613560e+02,3.085542892172453477e+01,4.412666280361877966e+02
1.643000000000000000e+03,7.546208058429700882e-01,1.108503923584594908e+01,7.755963296701584575e-01,1.111213951167109748e+01,4.376198081134135691e+02,3.061931579512539869e+01,4.386896841196320906e+02
1.644000000000000000e+03,7.541617907542578214e-01,1.101921087372886277e+01,7.697216878638689641e-01,1.104606173061116081e+01,4.350210085435443261e+02,3.038739423262068229e+01,4.360810378845785067e+02
1.645000000000000000e+03,7.537033337386017662e-01,1.095256328677504953e+01,7.638093172926493368e-01,1.097916423157954746e+01,4.323898672734589468e+02,3.015398319817836281e+01,4.334400304811214255e+02
1.646000000000000000e+03,7.532454337788577758e-01,1.088507869815993878e+01,7.577186997832087156e-01,1.091141951778669394e+01,4.297256825022533917e+02,2.991353525667224744e+01,4.307655763795195298e+02
1.647000000000000000e+03,7.527880898603520610e-01,1.081672802449200077e+01,7.513065510110860101e-01,1.084278869523070554e+01,4.270273060636513378e+02,2.966039376970512365e+01,4.280561401061235642e+02
1.648000000000000000e+03,7.523313009708737509e-01,1.074747103514957658e+01,7.444206135694556581e-01,1.077322123142777777e+01,4.242931497163705785e+02,2.938854785578696394e+01,4.253097267184356269e+02
1.649000000000000000e+03,7.518750661006670111e-01,1.067725690348544454e+01,7.368928422515462762e-01,1.070265509319949970e+01,4.215212069048066610e+02,2.909136335606842394e+01,4.225238872447328049e+02
