z_nm,x_al,in_grade_window
26.250000,0.5500000000,False
26.300000,0.5500000000,False
26.350000,0.5500000000,False
26.400000,0.5500000000,False
26.450000,0.5500000000,False
26.500000,0.5500000000,False
26.550000,0.5500000000,False
26.600000,0.5500000000,False
26.650000,0.5500000000,False
26.700000,0.5500000000,False
26.750000,0.5500000000,False
26.800000,0.5500000000,False
26.850000,0.5500000000,False
26.900000,0.5500000000,False
26.950000,0.5500000000,False
27.000000,0.5500000000,False
27.050000,0.5500000000,False
27.100000,0.5500000000,False
27.150000,0.5500000000,False
27.200000,0.5500000000,False
27.250000,0.5500000000,False
27.300000,0.5500000000,False
27.350000,0.5500000000,False
27.400000,0.5500000000,False
27.450000,0.5500000000,False
27.500000,0.5500000000,False
27.550000,0.5500000000,False
27.600000,0.5500000000,False
27.650000,0.5500000000,False
27.700000,0.5500000000,False
27.750000,0.5500000000,False
27.800000,0.5500000000,False
27.850000,0.5500000000,False
27.900000,0.5500000000,False
27.950000,0.5500000000,False
28.000000,0.5500000000,False
28.050000,0.5500000000,False
28.100000,0.5500000000,False
28.150000,0.5500000000,False
28.200000,0.5500000000,False
28.250000,0.5500000000,False
28.300000,0.5500000000,False
28.350000,0.5500000000,False
28.400000,0.5500000000,False
28.450000,0.5500000000,False
28.500000,0.5500000000,False
28.550000,0.5500000000,False
28.600000,0.5500000000,False
28.650000,0.5500000000,False
28.700000,0.5500000000,False
28.750000,0.5500000000,False
28.800000,0.5500000000,False
28.850000,0.5500000000,False
28.900000,0.5500000000,False
28.950000,0.5500000000,False
29.000000,0.5500000000,False
29.050000,0.5500000000,False
29.100000,0.5500000000,False
29.150000,0.5500000000,False
29.200000,0.5500000000,False
29.250000,0.5500000000,False
29.300000,0.5500000000,False
29.350000,0.5500000000,False
29.400000,0.5500000000,False
29.450000,0.5500000000,False
29.500000,0.5500000000,False
29.550000,0.5500000000,False
29.600000,0.5500000000,False
29.650000,0.5500000000,False
29.700000,0.5500000000,False
29.750000,0.5500000000,False
29.800000,0.5500000000,False
29.850000,0.5500000000,False
29.900000,0.5500000000,False
29.950000,0.5500000000,False
30.000000,0.5500000000,False
