model,wavelength_nm,k_per_nm,F_real,F_imag,cumulative_real_pm_per_V,cumulative_imag_pm_per_V,cumulative_magnitude_pm_per_V
demo21,1330.0,0.03509775405677454,-5.723127704273846,-0.09580141639744455,-0.06350286418779454,-0.0010588905721664,0.06351169191020894
demo21,1330.0,0.040947379732903626,-5.730881031089149,-0.09620799225606794,-0.08649285491667942,-0.0014443262534795268,0.08650491332845925
demo21,1330.0,0.04679700540903271,-5.739868063379953,-0.09667990740896742,-0.11305854142576403,-0.001891094597922958,0.11307435619139955
demo21,1330.0,0.0526466310851618,-5.750106661056581,-0.09721838915086964,-0.14321678741571034,-0.0024000845121532875,0.1432368967945838
demo21,1330.0,0.05849625676129089,-5.7616172947856,-0.09782485024016219,-0.17698687161397267,-0.0029723148643639122,0.17701182836001034
demo21,1330.0,0.06434588243741998,-5.774423136080646,-0.09850089756025354,-0.21439055235222404,-0.003608938977063498,0.21442092570090235
demo21,1330.0,0.07019550811354908,-5.788550160470166,-0.09924834209400826,-0.2554521410325625,-0.004311249772273506,0.25548851878845574
demo21,1330.0,0.07604513378967816,-5.804027264644281,-0.1000692103201758,-0.30019858494510854,-0.00508068561424405,0.30024157568424187
demo21,1330.0,0.08189475946580725,-5.820886398620781,-0.10096575715838263,-0.34865955996620207,-0.00591883690168339,0.3487097953687197
demo21,1330.0,0.08774438514193633,-5.839162714122843,-0.10194048060913424,-0.40086757373910403,-0.006827453469142471,0.4009257110692071
demo21,1330.0,0.09359401081806543,-5.858894730531487,-0.10299613825776174,-0.4568580800188716,-0.00780845286571968,0.4569248047706383
demo21,1330.0,0.09944363649419452,-5.880124519966561,-0.10413576583681661,-0.5166696049509895,-0.00886392958879894,0.5167456336806018
demo21,1330.0,0.1052932621703236,-5.902897913264294,-0.10536269807062576,-0.5803438861506585,-0.0099961653612768,0.5804299695177519
demo21,1330.0,0.1111428878464527,-5.9272647288618145,-0.10668059205919966,-0.6479260255577745,-0.011207640552868346,0.6480229516011421
demo21,1330.0,0.11699251352258178,-5.9532790268736555,-0.10809345349723606,-0.7194646571632113,-0.01250104685983841,0.7195732548389837
demo21,1330.0,0.12284213919871087,-5.980999390957049,-0.10960566606846803,-0.7950121308369441,-0.013879301373153886,0.795133273850683
demo21,1330.0,0.12869176487483996,-6.010489240919661,-0.11122202440716711,-0.8746247136399538,-0.015345562182911889,0.8747593246079065
demo21,1330.0,0.13454139055096906,-6.041817179430435,-0.11294777107856671,-0.9583628101723086,-0.01690324568734217,0.9585118651514603
demo21,1330.0,0.14039101622709815,-6.075057376662153,-0.11478863809979986,-1.0462912037022125,-0.01855604579815267,1.0464557371338206
demo21,1330.0,0.14624064190322722,-6.110289997233073,-0.1167508936046793,-1.1384793200385934,-0.02030795526101053,1.1386604301557253
demo21,1330.0,0.15209026757935631,-6.147601674436164,-0.11884139435139768,-1.2350015163569867,-0.022163289341152845,1.235200371113317
demo21,1330.0,0.1579398932554854,-6.187086037463914,-0.121067644884916,-1.3359373974697353,-0.024126712160248438,1.3361552410546735
demo21,1330.0,0.1637895189316145,-6.2288442981715715,-0.12343786429869447,-1.4413721623524445,-0.026203266012580148,1.4416103223667232
demo21,1330.0,0.1696391446077436,-6.272985904893742,-0.12596106169768828,-1.5513969841057238,-0.028398404037460478,1.5516568794821264
demo21,1330.0,0.17548877028387266,-6.3196292719632545,-0.12864712165115894,-1.666109426952278,-0.03071802668182983,1.6663925767184855
demo21,1330.0,0.18133839596000176,-6.368902594909207,-0.13150690114607194,-1.7856139043535872,-0.03316852245378388,1.7859219373485027
demo21,1330.0,0.18718802163613085,-6.420944762870608,-0.13455233981730585,-1.9100221828887183,-0.03575681354623834,1.9103568485604894
demo21,1330.0,0.19303764731225995,-6.47590638159746,-0.1377965855490066,-2.039453937183378,-0.03849040700238606,2.039817117617163
demo21,1330.0,0.19888727298838904,-6.533950922580846,-0.14125413792403174,-2.1740373619258797,-0.04137745220386616,2.1744310852727713
demo21,1330.0,0.2047368986645181,-6.5952560164239245,-0.14494101246018298,-2.3139098478772477,-0.04442680559212994,2.314336303383419
demo21,1330.0,0.2105865243406472,-6.660014911622687,-0.14887492913128192,-2.4592187297981343,-0.04764810368763852,2.4596802846660735
demo21,1330.0,0.2164361500167763,-6.7284381235726,-0.15307552935137153,-2.6101221154033207,-0.0510518456555669,2.6106213337560744
demo21,1330.0,0.2222857756929054,-6.80075530298509,-0.15756462643077007,-2.766789805849244,-0.054649486887207076,2.767329470115247
